635886	1	B
453615	2	D
405900	3	C
821805	4	C
995477	5	D
513722	1	B
817715	2	A
321389	3	D
856504	4	D
423382	5	F
364137	1	A
831989	2	B
332394	3	F
904675	4	D
427340	5	B
462259	1	B
696232	2	F
932956	3	A
846853	4	C
934773	5	D
665406	1	D
474562	2	C
248493	3	D
397961	4	B
297901	5	D
337499	1	D
987030	2	B
305108	3	C
879074	4	D
300895	5	F
366353	1	C
684959	2	A
902680	3	A
460503	4	B
742406	5	A
374826	1	B
168604	2	F
109059	3	F
136778	4	A
662046	5	F
112645	1	B
881880	2	D
607760	3	D
548413	4	A
773000	5	A
589614	1	B
841527	2	A
781393	3	C
706333	4	C
180942	5	A
580787	1	D
206473	2	D
951827	3	B
331188	4	C
179186	5	C
364658	1	B
231901	2	B
625134	3	C
223814	4	B
551463	5	A
313695	1	A
876220	2	B
900615	3	A
197204	4	A
297107	5	B
810106	1	B
764942	2	C
264110	3	D
964978	4	C
857728	5	F
579529	1	B
404953	2	A
475427	3	F
490835	4	C
691002	5	D
757904	1	D
169356	2	D
727938	3	A
708289	4	F
886897	5	B
167863	1	A
377737	2	B
931156	3	F
948956	4	F
931790	5	D
745158	1	A
768963	2	F
553877	3	B
534793	4	D
339325	5	C
620499	1	F
559466	2	B
909514	3	B
848261	4	C
625082	5	D
262339	1	D
900761	2	B
709762	3	D
143671	4	B
278246	5	B
385358	1	C
533540	2	A
225617	3	B
489929	4	A
266831	5	D
257077	1	B
679702	2	D
939625	3	F
468662	4	F
799454	5	D
588450	1	F
924132	2	B
655317	3	C
741867	4	C
890881	5	F
504953	1	F
937774	2	D
774824	3	B
672533	4	F
896872	5	A
156820	1	D
977627	2	C
155240	3	A
701492	4	C
248814	5	B
138187	1	F
779199	2	F
813964	3	A
833437	4	B
110905	5	F
429730	1	C
617255	2	B
478064	3	F
313905	4	D
421287	5	C
582158	1	F
751128	2	C
509655	3	F
178454	4	A
839593	5	D
941683	1	B
448877	2	C
668006	3	D
869558	4	A
901106	5	C
100707	1	A
932959	2	C
339415	3	A
177873	4	C
163463	5	A
686727	1	F
498021	2	D
939259	3	A
316098	4	D
141040	5	D
621329	1	C
303436	2	C
672323	3	D
290764	4	B
434319	5	F
157152	1	C
512770	2	D
885698	3	F
542896	4	F
110422	5	B
979686	1	A
395802	2	B
977033	3	C
885255	4	D
310715	5	F
465799	1	B
994175	2	D
593168	3	B
672176	4	B
657924	5	A
320313	1	D
622503	2	D
187424	3	B
658010	4	B
195100	5	B
917545	1	F
337886	2	F
892992	3	A
197665	4	B
135268	5	A
995043	1	D
380004	2	A
823530	3	D
891723	4	B
263700	5	C
722850	1	D
113161	2	B
308071	3	F
264679	4	B
476706	5	C
541146	1	F
195515	2	D
754041	3	A
781985	4	D
105326	5	F
440805	1	C
961731	2	D
711425	3	B
952706	4	A
547412	5	F
790258	1	D
215103	2	B
530446	3	C
822859	4	B
385553	5	A
781895	1	F
944649	2	F
615821	3	C
473214	4	F
872965	5	F
232587	1	D
300335	2	A
453309	3	C
197690	4	F
210547	5	B
472231	1	D
606570	2	D
510698	3	B
838167	4	A
359843	5	A
709305	1	C
841169	2	F
898890	3	C
752301	4	D
877343	5	C
987772	1	B
564654	2	A
753982	3	D
203509	4	D
888623	5	A
936370	1	C
819467	2	B
406268	3	F
717558	4	F
161145	5	D
969040	1	D
677318	2	C
505690	3	C
641165	4	C
168239	5	B
998009	1	D
718717	2	D
752767	3	A
990239	4	A
812255	5	D
929542	1	B
850397	2	F
175567	3	D
582551	4	B
